"Ensembl_gene_ID","baseMean_all_samples","log2FoldChange","lfcSE","pvalue","padj","external_gene_name","gene_biotype","percentage_gene_gc_content","entrezgene_id","baseMean_selected_samples"
"ENSMUSG00000000149",3266.76488674089,0.0571909061644564,0.220365499694599,0.792186711431734,0.872813145713154,"Gna12","protein_coding",47.49,14673,3137.33601423274
"ENSMUSG00000000154",64.4524119464374,-2.65821557035215,0.417504718385315,2.75118068064692e-11,4.31150987688786e-10,"Slc22a18","protein_coding",52.01,18400,86.369220357239
"ENSMUSG00000000159",0.323129221103736,-0.0162389007900773,1.01652004384541,0.982558556985543,NA,"Igsf5","protein_coding",44.82,72058,0
"ENSMUSG00000000167",63.5897385624885,0.00664828566249904,0.593777293313633,0.992266433914143,0.995076468472663,"Pih1d2","protein_coding",43.52,72614,55.6855280805287
"ENSMUSG00000000168",1627.21876327142,0.658952932919772,0.238259933343747,0.00437258254752184,0.0136284250220154,"Dlat","protein_coding",44.1,235339,1942.04972229644
"ENSMUSG00000000171",1653.91276228921,1.50195113672059,0.175191954300973,3.47598457274288e-18,1.11087258769323e-16,"Sdhd","protein_coding",45.09,66925,1945.75915429166
"ENSMUSG00000000182",0.177117708053854,-0.0154481397306442,1.01661739199066,0.982556878562398,NA,"Fgf23","protein_coding",46.08,64654,0
"ENSMUSG00000000184",65319.9089505225,-0.905489599029104,0.281226451648398,0.000521147231996835,0.00215407522558692,"Ccnd2","protein_coding",49.26,12444,71933.7784469438
"ENSMUSG00000000194",2503.6200751704,-1.32336028843549,0.483545879924637,0.00228922064361078,0.00779181311117355,"Gpr107","protein_coding",49.01,277463,2785.04131287827
"ENSMUSG00000000197",1045.59606194764,-1.33183172595343,0.374116904921172,0.000139403201724787,0.000669178977205484,"Nalcn","protein_coding",38.67,338370,1938.0615759776
"ENSMUSG00000000202",1.920999793056,0.189775432268213,1.04180328510256,0.217173652297955,NA,"Btbd17","protein_coding",56.02,72014,3.30093321087329
"ENSMUSG00000000214",32.7604749070863,-0.0328940957048459,1.01368940407767,0.956231267292797,0.983532434403149,"Th","protein_coding",51.59,21823,0
"ENSMUSG00000000216",1573.19843150109,0.758965879421044,0.573796637635211,0.110164511759838,0.199113596343311,"Scnn1g","protein_coding",45.71,20278,110.444453203204
"ENSMUSG00000000223",267.174509641878,-2.24957171732671,0.507722753312058,1.52239087642773e-06,1.14235149138306e-05,"Drp2","protein_coding",44.54,13497,478.429232546665
"ENSMUSG00000000244",1.96906817552501,0.281946370589531,1.07116130171349,0.144975259358867,NA,"Tspan32","protein_coding",53.07,27027,2.48107755582201
"ENSMUSG00000000247",1827.8432748466,-1.71669814048273,0.651692154397737,0.00159104833533657,0.00569659032605241,"Lhx2","protein_coding",50,16870,14.0034165570109
"ENSMUSG00000000248",19.1227509599201,-0.204710899756951,0.916021488839911,0.692488465557463,0.796519620511908,"Clec2g","protein_coding",41.63,70809,2.402694519209
"ENSMUSG00000000253",203.428108038649,-1.92662181156663,0.586297876662143,0.000197626713633012,0.000915036033401628,"Gmpr","protein_coding",48.23,66355,88.1493536783475
"ENSMUSG00000000263",9.33607218672036,-0.032171678053971,1.0143319800915,0.967633906263372,0.987749362488704,"Glra1","protein_coding",45.7,14654,0
"ENSMUSG00000000266",960.069784029481,0.112254243434527,0.319913600118985,0.707049721235676,0.808271333822238,"Mid2","protein_coding",40.18,23947,464.968369987865
"ENSMUSG00000000275",909.916125806853,1.39875202538295,0.304834447820309,1.49600706863288e-06,1.12484582122523e-05,"Trim25","protein_coding",48.45,217069,1004.56310064091
"ENSMUSG00000000276",576.728245147637,-0.00180365043448613,0.24830161780208,0.990216346770891,0.993507536067084,"Dgke","protein_coding",43.85,56077,625.564262520408
"ENSMUSG00000000278",793.275138268057,0.377319543644093,0.217613278434894,0.0767316248356066,0.149738887210986,"Scpep1","protein_coding",47.22,74617,779.293681049108
"ENSMUSG00000000282",1491.37165381738,-0.305594492623788,0.268897534399603,0.232418527907475,0.354901299683908,"Mnt","protein_coding",56.49,17428,1357.57197020279
"ENSMUSG00000000290",6.15414755366291,0.633850592200532,1.33715664839107,0.00697118148471681,0.0203209333322108,"Itgb2","protein_coding",50.26,16414,9.77519750478274
"ENSMUSG00000000295",735.180556938346,0.394761554772518,0.234803822822875,0.084183419946703,0.160937862842461,"Hddc2","protein_coding",42.09,69692,661.499338194495
"ENSMUSG00000000296",395.73219594204,1.17981787157686,0.376815674764638,0.000732920512633333,0.00289924775931905,"Tpd52l1","protein_coding",40.19,21987,261.679257228551
"ENSMUSG00000000301",59.2718706316254,0.655460207693057,0.634585172658929,0.193034416319894,0.306689882839908,"Pemt","protein_coding",49.74,18618,49.6330767202869
"ENSMUSG00000000303",12156.8672827775,0.335283109506743,0.16212389743043,0.0345395718090744,0.0779712731754683,"Cdh1","protein_coding",47.03,12550,9197.42273149933
"ENSMUSG00000000305",318.052414995458,2.01311721636358,0.780756959237392,0.00124746731927206,0.00462655855328817,"Cdh4","protein_coding",49.53,12561,27.9414976978234
"ENSMUSG00000000308",216.210531544368,-0.347852573901763,0.537556610130612,0.445359110381517,0.579114657055664,"Ckmt1","protein_coding",48.09,12716,84.3393818589998
"ENSMUSG00000000317",37.8342108630258,0.00669914276957076,0.65718779094342,0.997335623036811,0.998420037109918,"Bcl6b","protein_coding",51.38,12029,53.0403474627007
"ENSMUSG00000000320",828.587670425355,0.976627396211041,0.267106880053632,0.000147140565398333,0.000702722197462184,"Alox12","protein_coding",48.86,11684,705.574136416618
"ENSMUSG00000000326",1642.42398234015,0.440054561423842,0.221495669581373,0.0435051110226965,0.0944585679014188,"Comt","protein_coding",48.68,12846,1179.5893424762
"ENSMUSG00000000339",1056.39870743155,0.367434963215126,0.259423735482416,0.143000707412174,0.243883951679891,"Rtca","protein_coding",43.09,66368,1125.72021354227
"ENSMUSG00000000340",849.95307331719,-0.354964958508868,0.267461665953303,0.16766930388685,0.275223975911254,"Dbt","protein_coding",44.05,13171,864.183206073628
"ENSMUSG00000000346",3438.14079286991,0.291198942368089,0.140668867434462,0.0370365056538727,0.0827658028046617,"Dazap2","protein_coding",50.58,23994,3105.65967123379
"ENSMUSG00000000355",315.278874224676,-0.153730332754,0.306848142851782,0.596687858778477,0.716774299690861,"Mcts1","protein_coding",37.89,68995,355.017759114763
"ENSMUSG00000000359",0.679791218378434,-0.121936688790643,1.00998323384962,0.585643055335086,NA,"Rem1","protein_coding",52.13,19700,0.8153512774857
"ENSMUSG00000000365",49.4696709514985,-0.1671167424008,0.7065912739293,0.737769818970935,0.831769634882189,"Rnf17","protein_coding",38.66,30054,63.2225852167894
"ENSMUSG00000000374",1774.65897986003,0.0149658900817451,0.225658366897751,0.949063848920496,0.980590869947125,"Trappc10","protein_coding",48.02,NA,1681.76917912757
"ENSMUSG00000000378",989.928217610112,0.205749451068992,0.306442469059497,0.473860880742056,0.606370692007242,"Ccm2","protein_coding",47.75,216527,1069.51075769681
"ENSMUSG00000000384",1445.66200982032,0.0798843288006155,0.264765140342845,0.75822282738707,0.846946626842919,"Tbrg4","protein_coding",51.38,21379,1520.77802339452
"ENSMUSG00000000385",129.335644255618,0.649978635117598,0.514062846790272,0.142987567554123,0.243883951679891,"Tmprss2","protein_coding",46.44,50528,176.76887893959
"ENSMUSG00000000386",17.600558516902,0.0422568019574282,0.807898595306615,0.93459341732884,0.971196568097814,"Mx1","polymorphic_pseudogene",46.16,NA,14.2390578613893
"ENSMUSG00000000392",74.8472264370696,0.572538482915473,0.748872654617234,0.283769527485308,0.413429233255358,"Fap","protein_coding",38.39,14089,10.3693905623067
"ENSMUSG00000000394",1.03036619451207,-0.0177656819813653,1.01634005417587,0.982561755452947,NA,"Gcg","protein_coding",37.47,14526,0
"ENSMUSG00000000399",1549.92586486486,0.800208334484432,0.19311169761109,2.35166350763552e-05,0.000136820005780728,"Ndufa9","protein_coding",45.75,66108,1648.29772544878
"ENSMUSG00000000402",1325.44845604305,-2.91991442993731,0.198924788560233,1.08986175616757e-49,3.40147701323214e-47,"Egfl6","protein_coding",42.54,54156,1067.58077071053
"ENSMUSG00000000409",193.944425903999,1.19051925737523,0.414258434511564,0.00168400718748956,0.00598288797037096,"Lck","protein_coding",48.13,16818,221.664054380706
"ENSMUSG00000000411",1.94553543443787,-0.0274456191577937,1.0153165552349,NA,NA,"Tssk3","protein_coding",52.81,58864,0
"ENSMUSG00000000416",670.363027668976,-2.47773050743748,0.5263922595033,3.75013305921494e-07,3.15751943998097e-06,"Cttnbp2","protein_coding",40.7,30785,359.44313124112
"ENSMUSG00000000420",2422.33729174698,0.877916852576679,0.224496219057269,5.89505677949961e-05,0.000312198951790928,"Galnt1","protein_coding",40.82,14423,2850.26892550973
"ENSMUSG00000000439",1055.57170378021,0.937366341430283,0.390351845061601,0.00887416117006683,0.0249975223780956,"Mkrn2","protein_coding",47.04,67027,979.383936284226
"ENSMUSG00000000440",129.339199083873,-1.60185760640306,0.592875298431388,0.0018383157317646,0.0064391755534931,"Pparg","protein_coding",39.51,19016,62.8359797075678
"ENSMUSG00000000441",3216.76734406008,-0.197842388991408,0.190758652593962,0.287774441877866,0.417776614060156,"Raf1","protein_coding",42.75,110157,3303.0703851015
"ENSMUSG00000000486",120.291879703903,-0.766555797944196,0.674607483733519,0.14529975097555,0.247072639621736,"Septin1","protein_coding",48.19,100043580,111.512068878488
"ENSMUSG00000000486",120.291879703903,-0.766555797944196,0.674607483733519,0.14529975097555,0.247072639621736,"Septin1","protein_coding",48.19,54204,111.512068878488
"ENSMUSG00000000489",287.723555108501,2.964531541824,0.368165805344608,7.79396664813782e-17,2.20457913761613e-15,"Pdgfb","protein_coding",55.39,18591,294.04237503427
"ENSMUSG00000000530",90.3314309450434,-0.536036702922745,0.70538214365687,0.303341061701335,0.434179736507453,"Acvrl1","protein_coding",52.3,11482,116.906219695989
"ENSMUSG00000000531",1372.33806386204,-1.11380781912499,0.188595330412922,1.79955486356963e-09,2.17149431571239e-08,"Tamalin","protein_coding",55.63,56149,1314.69972096615
"ENSMUSG00000000532",3530.03083689741,-0.173835126605153,0.207281443587819,0.395343119660312,0.529713178012441,"Acvr1b","protein_coding",49.44,11479,3289.03047877306
"ENSMUSG00000000538",1197.35025270028,-0.250463012922101,0.25713392031617,0.311781234434269,0.443502483651806,"Tom1l2","protein_coding",46.54,216810,1088.92761275922
"ENSMUSG00000000544",18.1170926659041,-0.982119210694714,1.41535368915356,0.0720258776340306,0.14268795166789,"Gpa33","protein_coding",48.91,59290,20.9324995952288
"ENSMUSG00000000552",2315.08673815604,-1.68777870292934,0.272531390585804,1.72141066455065e-10,2.43083251357635e-09,"Zfp385a","protein_coding",50.68,29813,2112.18904359803
"ENSMUSG00000000555",939.027463522329,0.0596323231462782,0.184098485107096,0.743562427947039,0.836303356231173,"Itga5","protein_coding",50.81,16402,1039.02915047275
"ENSMUSG00000000560",19.6774513967137,-0.403769785194008,0.749200925515273,0.442447977801635,0.57622441921206,"Gabra2","protein_coding",36.51,NA,20.0589865131448
"ENSMUSG00000000561",2655.77567806236,0.88668240426485,0.188224310608136,1.56534190956147e-06,1.17314635419881e-05,"Wdr77","protein_coding",44.83,70465,3252.01296889164
"ENSMUSG00000000562",12.3479518345615,0.453481058177987,0.725880015594096,0.390178785802121,0.52481115191123,"Adora3","protein_coding",45.35,11542,12.6515234035103
"ENSMUSG00000000562",12.3479518345615,0.453481058177987,0.725880015594096,0.390178785802121,0.52481115191123,"Adora3","protein_coding",45.35,69296,12.6515234035103
"ENSMUSG00000000563",5332.47999131937,1.02536231312118,0.183532472070216,1.26633190231479e-08,1.35728961869759e-07,"Atp5pb","protein_coding",40.23,11950,5080.09545883212
"ENSMUSG00000000567",7731.23591943164,1.28323803523115,0.201559484328707,6.05591515380583e-11,9.07352495054357e-10,"Sox9","protein_coding",50.95,20682,6936.22587137173
"ENSMUSG00000000568",12597.6897946887,1.14430092823968,0.175138787213475,2.96403783874937e-11,4.62932932677956e-10,"Hnrnpd","protein_coding",38.55,11991,13668.2760825331
"ENSMUSG00000000579",125.291887779066,-1.07178717328224,0.495676992540139,0.0143829736480869,0.037631156117629,"Dynlt1c","protein_coding",47.56,100040563,137.140167142776
"ENSMUSG00000000581",688.353761803975,-0.268675161061967,0.39867420898116,0.465629353853741,0.598624514547426,"C1d","protein_coding",37.25,57316,690.142807391279
"ENSMUSG00000000594",1486.00827389987,2.60686104639286,0.199674107363124,6.92190781724346e-40,1.08016958090442e-37,"Gm2a","protein_coding",48.96,14667,2079.80648084607
"ENSMUSG00000000600",2862.30642596816,-1.10437974219148,0.210720319658005,7.457901767527e-08,7.06429028535196e-07,"Krit1","protein_coding",36.51,79264,3056.62561837411
"ENSMUSG00000000605",1746.19029401723,0.172626605505592,0.282244277549908,0.519742819678294,0.650040364161931,"Clcn4","protein_coding",47.23,12727,1447.81120487879
"ENSMUSG00000000606",17.2199278003998,-0.497840225608027,0.862153028497593,0.351991858314233,0.486349371876513,"Vmn2r88","protein_coding",35.79,669149,14.1680071675758
"ENSMUSG00000000617",1.54542678367369,-0.00200144521368566,0.966903389829811,0.989768685499825,NA,"Grm6","protein_coding",50.24,108072,1.52839130642168
"ENSMUSG00000000627",93.6216011258636,-0.0474980817767906,0.517402697059379,0.903714390978599,0.95030963600414,"Sema4f","protein_coding",47.76,20355,119.156918437708
"ENSMUSG00000000628",4576.48940128802,1.02231491297684,0.242443106695856,1.32298696018633e-05,8.19975829177755e-05,"Hk2","protein_coding",49.08,15277,2606.21141351861
"ENSMUSG00000000631",7952.92190737569,1.16050637474531,0.234667500507119,3.38885493913476e-07,2.87436088665258e-06,"Myo18a","protein_coding",51.78,360013,5098.69304279
"ENSMUSG00000000632",2.88696139499843,-0.0293563386713321,0.9416582792589,0.94639330534053,0.979476353422273,"Sez6","protein_coding",51.55,20370,0.832142194569139
"ENSMUSG00000000673",33.1616872320719,5.88909740435723,1.58493814067445,1.98785239173316e-06,1.4595021507725e-05,"Haao","protein_coding",50.92,107766,7.90640025765447
"ENSMUSG00000000682",5.22648825096678,0.716371263730937,1.42657981044568,0.0121093413355598,0.0325377807315041,"Cd52","protein_coding",49.53,23833,5.28509751547467
"ENSMUSG00000000686",92.782251633279,2.19792688816533,1.32354932825038,0.00723800970377236,0.0209824796418867,"Abhd15","protein_coding",43.32,67477,15.9122019502668
"ENSMUSG00000000690",41.8431377804093,-4.27617876848132,1.05472391178226,3.62466589885736e-06,2.53204089004399e-05,"Hoxb6","protein_coding",52.14,15414,58.4649369590724
"ENSMUSG00000000693",129.866539359736,1.30604453858082,0.816986303130315,0.0286269904735251,0.0669806102388171,"Loxl3","protein_coding",49.9,16950,203.870760256467
"ENSMUSG00000000706",10.7101885327919,5.85950979628559,2.72526187907424,0.000194258153161579,0.000900762899133988,"Btn1a1","protein_coding",45.26,12231,5.24117100945163
"ENSMUSG00000000708",550.29802223496,-0.999541113725671,0.505745749623666,0.0240208807820812,0.0580244652658066,"Kat2b","protein_coding",43.46,18519,498.343493761413
"ENSMUSG00000000711",2480.0365167371,-0.558594998660376,0.136833954277709,3.7460926800463e-05,0.000208337513169352,"Rab5b","protein_coding",44.42,19344,2451.58826806692
"ENSMUSG00000000724",9.42070500784005,-2.91730945162299,2.5955913948338,0.00940192141768046,0.0262991008636136,"Cryba1","protein_coding",42.74,12957,8.4241433986615
"ENSMUSG00000000730",5.78918164568383,-0.00241510560777549,0.970656116724865,0.991105354448933,0.994136070653545,"Dnmt3l","protein_coding",50.17,54427,3.48885606652361
"ENSMUSG00000000731",37.3927153963379,3.28835834613459,1.0730687769373,9.44113007504965e-05,0.000474090453236881,"Aire","protein_coding",52.02,11634,61.1220538056052
"ENSMUSG00000000732",147.276158060913,0.657085117888853,0.318156690175114,0.0289192178588611,0.067509948992529,"Icosl","protein_coding",49.9,50723,83.8646062583176
"ENSMUSG00000000738",1125.9492957804,-0.539094638725058,0.210600016961968,0.00863318423372887,0.0244383481137407,"Spg7","protein_coding",48.71,234847,1240.34574022746
"ENSMUSG00000000739",230.316369353799,-1.30224879851243,0.482714288133964,0.00259789512292446,0.00869933456874541,"Sult5a1","protein_coding",49.92,57429,114.629037874076
"ENSMUSG00000000740",36182.1160785467,0.529066349186136,0.259923951529724,0.0350898336207043,0.079048714985521,"Rpl13","protein_coding",54.34,270106,32369.9541026689
"ENSMUSG00000000743",1810.22338868548,0.0304943674958919,0.330169914549794,0.903568066672032,0.950271424964236,"Chmp1a","protein_coding",53.56,234852,1508.53277998909
"ENSMUSG00000000751",2565.51542001721,0.634284179392961,0.24643170359814,0.00779439993222821,0.0223491249380334,"Rpa1","protein_coding",44.89,68275,2525.99296382616
"ENSMUSG00000000753",605.421207605628,2.55587287275041,0.611235287704314,3.0432474749169e-06,2.15864248856394e-05,"Serpinf1","protein_coding",49.44,20317,690.604808890371
"ENSMUSG00000000759",1897.44801264703,0.335076467451694,0.248613366728341,0.168164065449912,0.275888551425042,"Tubgcp3","protein_coding",46.98,259279,1976.68845505369
"ENSMUSG00000000776",1200.64565077116,0.18255434276603,0.31057807449415,0.54027621866343,0.668681697168195,"Polr3d","protein_coding",51.78,67065,1250.20046046219
"ENSMUSG00000000782",1713.62784018705,-0.356359712117046,0.204173812331221,0.0744906667311062,0.146389662453211,"Tcf7","protein_coding",53.06,21414,1400.27240411555
"ENSMUSG00000000787",26644.8250050457,0.835141059402319,0.280105697906591,0.00181839823598917,0.00638519929776974,"Ddx3x","protein_coding",39.75,13205,24541.6506905162
"ENSMUSG00000000791",3.32690193330754,0.415130996523852,1.12138704880219,0.106168305500707,0.193486062696953,"Il12rb1","protein_coding",52.9,16161,3.01228487734035
"ENSMUSG00000000792",3.9137277913266,0.654172719311998,1.18306985794515,0.14132300677847,0.241559625621344,"Slc5a5","protein_coding",54.85,114479,2.04552798919006
"ENSMUSG00000000794",251.378724899698,-2.7183771126211,0.502606746745655,5.92283447678488e-09,6.68278640046059e-08,"Kcnn3","protein_coding",48.56,140493,47.914322866479
"ENSMUSG00000000804",1916.72705602884,-0.451079248091555,0.375868443689474,0.198659434707136,0.313866566340386,"Usp32","protein_coding",39.1,237898,1880.26085778501
"ENSMUSG00000000805",2.07306733293943,0.209960252169116,1.0365090025586,0.542270861369884,NA,"Car4","protein_coding",52.03,12351,0.38447434323828
"ENSMUSG00000000811",322.974541283234,1.13812204706066,0.208983232556776,2.47674789459318e-08,2.51971468127286e-07,"Txnrd3","protein_coding",47.25,232223,396.217635169939
"ENSMUSG00000000817",0.125416250407882,-0.0149826664301609,1.01667476365994,0.982555737092457,NA,"Fasl","protein_coding",41.71,14103,0
"ENSMUSG00000000823",3048.75610892299,-0.691680967754661,0.192070347134611,0.000234637188983846,0.00106734416945369,"Zfp512b","protein_coding",53.58,269401,3669.55695966506
"ENSMUSG00000000826",3371.43537985683,-0.203862662386102,0.109473342649026,0.0605167667845792,0.124065435712674,"Dnajc5","protein_coding",42.98,13002,3509.94944837168
"ENSMUSG00000000827",1640.97233290018,0.128830760248777,0.242288663897108,0.5881144436073,0.710133728825235,"Tpd52l2","protein_coding",44.51,66314,1632.93796369611
"ENSMUSG00000000838",2639.31598733257,0.132393692489279,0.170317930922037,0.435363086217271,0.569454174570595,"Fmr1","protein_coding",35.06,14265,2712.46418669281
"ENSMUSG00000000861",5415.8662643284,1.28156247538568,0.139105559757961,1.91452998449466e-20,7.48495862727914e-19,"Bcl11a","protein_coding",45.53,14025,5848.65792328447
"ENSMUSG00000000869",2.52481621964351,-0.127544211155851,1.01043260385367,NA,NA,"Il4","protein_coding",47.09,16189,4.86471383431768
"ENSMUSG00000000876",546.886784351781,-1.04969541634683,0.278859156286347,8.87356659789788e-05,0.000449141988272929,"Pxmp4","protein_coding",47.38,59038,403.624978524423
"ENSMUSG00000000881",1384.61474727567,-1.07031057629255,0.254890350936709,1.38343511563002e-05,8.54278142830688e-05,"Dlg3","protein_coding",46.89,53310,1353.25754641038
"ENSMUSG00000000884",394.390333123544,0.585325604817061,0.502516362324883,0.17985401424927,0.290617653548651,"Gnb1l","protein_coding",47.73,13972,320.508153609107
"ENSMUSG00000000889",0.26927435091978,-0.0159977667818878,1.01654892734383,0.982558053957977,NA,"Dbh","protein_coding",51.66,13166,0
"ENSMUSG00000000901",1238.08793509111,-2.76377654922282,0.431938981586772,2.03233557055855e-11,3.24574390253817e-10,"Mmp11","protein_coding",53.54,17385,1770.526896121
"ENSMUSG00000000902",3080.84338095374,0.437103371723538,0.17124521708872,0.0096367816866238,0.0268459452310879,"Smarcb1","protein_coding",48.04,20587,3417.42543402227
"ENSMUSG00000000903",0.548117960712374,-0.0169267281339507,1.01643647129668,0.982560021573554,NA,"Vpreb3","protein_coding",47.86,22364,0
"ENSMUSG00000000915",2365.0806412513,-0.561124465966114,0.304015028769498,0.0533447764913577,0.111763649369878,"Hip1r","protein_coding",54.59,29816,1643.9560815917
"ENSMUSG00000000916",552.793395210629,0.981747252041671,0.304941761451309,0.000712563082913334,0.00282722185062834,"Nsun5","protein_coding",51.36,100609,642.533814577608
"ENSMUSG00000000934",271.923532888256,0.393963452941804,0.295820160912762,0.167828355435676,0.275415619657791,"Top1mt","protein_coding",52.57,72960,304.477816961719
"ENSMUSG00000000938",6.8973893984926,-0.122438098172548,0.966242053455063,0.723547912552599,0.821418696778271,"Hoxa10","protein_coding",50.46,15395,1.43579564103029
"ENSMUSG00000000942",8.7375880903577,-6.35907040985764,3.16028996993613,0.000664659625552819,0.00266529667790279,"Hoxa4","protein_coding",57.27,15401,5.63260366801031
"ENSMUSG00000000948",524.179675616306,-0.407927508298876,0.409944606797392,0.276672977817473,0.405109431737512,"Gm38393","protein_coding",35.42,NA,384.068674898289
"ENSMUSG00000000957",6151.25273165093,0.713559168250899,0.179686307093887,4.95613100413892e-05,0.00026778813471307,"Mmp14","protein_coding",53.13,17387,7642.61103594337
"ENSMUSG00000000958",61.9269479831573,0.0555708954288235,0.478320131174213,0.899177080290534,0.947241462509221,"Slc7a7","protein_coding",47.12,20540,73.6822268789657
"ENSMUSG00000000959",1807.22876417941,0.730554152013654,0.178277188335035,3.05601921128696e-05,0.000173309324781762,"Oxa1l","protein_coding",47.94,69089,1978.08224070058
"ENSMUSG00000000976",1444.09200913387,-1.43069266174146,0.270360476973502,4.31905866829726e-08,4.24845867083471e-07,"Heatr6","protein_coding",45.93,217026,1916.61920137553
"ENSMUSG00000000982",3.06021196867814,0.380667637184733,1.11889809137843,0.0919563964071006,0.172608061512778,"Ccl3","protein_coding",46.3,20302,2.74199615569183
"ENSMUSG00000000983",38.6685112240833,10.2635689351976,2.90908566142106,7.68803799886108e-12,1.28697756100934e-10,"Wfdc18","protein_coding",45.84,14038,48.5443702095262
"ENSMUSG00000001014",2.62144231494705,0.260708755081755,1.01841463782701,0.407293236104331,NA,"Icam4","protein_coding",58.3,78369,0.785605838322408
"ENSMUSG00000001016",6949.86365235631,-0.109187212122265,0.134192701866603,0.410378606078539,0.544688173627007,"Ilf2","protein_coding",42.32,67781,6925.48961553963
"ENSMUSG00000001017",5769.32210129827,0.171117449301395,0.133902953288936,0.208246670900824,0.325743645766886,"Chtop","protein_coding",42.19,66511,6130.26274223148
"ENSMUSG00000001018",633.783207415124,-0.814278565647789,0.189579661853872,1.2093658656661e-05,7.54123367774316e-05,"Snapin","protein_coding",45.35,20615,614.600911171605
"ENSMUSG00000001020",29.9150953686679,2.65545027198705,1.30605716080816,0.00310793975165151,0.0101488921062087,"S100a4","protein_coding",48.53,20198,7.37101072830172
"ENSMUSG00000001021",2106.81244228005,-0.310031117084704,0.929012846994912,0.510439551118641,0.641367034752552,"S100a3","protein_coding",49.07,20197,3.12067864058963
"ENSMUSG00000001025",1862.99240620059,1.07131505395268,0.540320147917805,0.0203736502642899,0.0504926508703412,"S100a6","protein_coding",47.42,20200,253.242844914356
"ENSMUSG00000001027",1.10515872256848,0.152220520722439,1.03027983016001,0.431445408079042,NA,"Scn4a","protein_coding",51.42,110880,0.890663853505144
"ENSMUSG00000001029",20.5161266270438,1.63647212743854,1.52571081764735,0.0273771238905169,0.0645979445566349,"Icam2","protein_coding",48.84,15896,8.50690622671897
"ENSMUSG00000001034",1400.02890244883,-1.05902629110716,0.2816633475886,8.98551825773613e-05,0.000454044868094064,"Mapk7","protein_coding",54.78,23939,1461.66239429358
"ENSMUSG00000001036",1328.39548453054,-0.211794412271249,0.34571456807147,0.516250530291519,0.646990898032262,"Epn2","protein_coding",45.69,13855,1322.10929502294
